distance_mm,temporal_noise_mm,spatial_noise_mm,n_valid_frames
316.0000145435333,0.3726731981686152,0.47998538613319397,30
328.000009059906,0.30000507831573486,0.0,30
348.00001978874207,0.6032075486927722,0.4996151030063629,29
377.00000405311584,0.5999962489139179,0.42707008123397827,30
395.00001072883606,0.5467140867480912,0.48991286754608154,30
410.0000262260437,0.5734906682019294,0.46649038791656494,30
428.0000329017639,0.47141250059434975,0.0,27
449.0000307559967,0.638987575784122,0.4898979365825653,17
471.0000157356262,0.7895174141929423,0.0,30
495.00003457069397,0.7781740577720075,0.27129319310188293,30
